Kirjauspäivä;Selite;Summa;Viitenumero
05.04.2023;Hoitovastike 100052;175,00;100052
19.05.2023;Pääkirja Taloushallinto;-394,36;
21.08.2023;Hoitovastike 100052;175,00;100052
03.03.2023;Hoitovastike 100010;250,00;100010
28.02.2023;Hoitovastike 100052;175,00;100052
03.08.2023;Helen Oy Sahko;-463,83;
27.11.2023;Helen Oy Sahko;-434,09;
30.09.2023;Hoitovastike 100049;150,00;100049
02.05.2023;Hoitovastike 100049;150,00;100049
13.03.2023;Hoitovastike 100036;210,00;100036
12.10.2023;Hoitovastike 100052;175,00;100052
08.07.2023;Hoitovastike 100010;250,00;100010
25.10.2023;Hoitovastike 100010;250,00;100010
26.02.2023;S-Rauta Maalia ja tarvikkeita;-83,23;
07.08.2023;Hoitovastike 100036;210,00;100036
05.06.2023;Hoitovastike 100049;150,00;100049
31.12.2023;Hoitovastike 100023;180,00;100023
09.12.2023;Hoitovastike 100052;175,00;100052
09.10.2023;Hoitovastike 100023;180,00;100023
20.06.2023;Isannointitoimisto Paakirja Oy;-850,00;
24.05.2023;Hoitovastike 100023;180,00;100023
17.04.2023;Hoitovastike 100049;150,00;100049
28.02.2023;LASSILA & TIKANOJA SIIVOUS OY;-379,68;
02.03.2023;Hoitovastike 100023;180,00;100023
11.01.2023;DNA Oyj Laajakaista;-120,00;
24.09.2023;DNA Oyj Laajakaista;-120,00;
28.11.2023;Helen Oy Sahko;-433,97;
22.02.2023;Isannointitoimisto Paakirja Oy;-850,00;
30.07.2023;Hoitovastike 100023;180,00;100023
27.11.2023;Hoitovastike 100010;250,00;100010
17.01.2023;Pääkirja Taloushallinto;-340,09;
07.06.2023;FORTUM OYJ SAHKOLASKU;-607,63;
26.06.2023;Kone Hissihuolto;-324,99;
13.03.2023;Hoitovastike 100049;150,00;100049
17.05.2023;Hoitovastike 100023;180,00;100023
13.12.2023;Hoitovastike 100010;250,00;100010
05.06.2023;Hoitovastike 100010;250,00;100010
06.12.2023;HSY VESI JA VIEMARI;-299,00;
13.06.2023;Helen Oy Sahko;-294,26;
21.10.2023;Hoitovastike 100036;210,00;100036
30.04.2023;Pankin Palvelumaksu;-12,50;
28.07.2023;Hoitovastike 100049;150,00;100049
24.08.2023;Hoitovastike 100010;250,00;100010
09.08.2023;FORTUM OYJ SAHKOLASKU;-601,21;
12.04.2023;S-Rauta Maalia ja tarvikkeita;-92,39;
18.07.2023;Kone Hissihuolto;-283,09;
01.06.2023;Hoitovastike 100010;250,00;100010
31.01.2023;Hoitovastike 100023;180,00;100023
18.07.2023;Hoitovastike 100049;150,00;100049
15.03.2023;Hoitovastike 100036;210,00;100036
20.04.2023;FORTUM OYJ SAHKOLASKU;-238,92;
04.01.2023;Hoitovastike 100036;210,00;100036
02.01.2023;Hoitovastike 100023;180,00;100023
04.10.2023;Hoitovastike 100052;175,00;100052
02.12.2023;Isannointitoimisto Paakirja Oy;-850,00;
22.08.2023;S-Rauta Maalia ja tarvikkeita;-40,28;
30.05.2023;Helen Oy Sahko;-405,11;
28.02.2023;Hoitovastike 100023;180,00;100023
18.04.2023;Pankin Palvelumaksu;-12,50;
28.01.2023;Hoitovastike 100023;180,00;100023
01.11.2023;K-Rauta rautakauppa;-63,92;
23.03.2023;LASSILA & TIKANOJA SIIVOUS OY;-319,60;
06.05.2023;Hoitovastike 100052;175,00;100052
22.05.2023;Hoitovastike 100023;180,00;100023
14.06.2023;Verohallinto Kiinteistovero;-1424,30;
13.06.2023;Hoitovastike 100036;210,00;100036
12.01.2023;Hoitovastike 100049;150,00;100049
13.02.2023;Pankin Palvelumaksu;-12,50;
13.05.2023;Hoitovastike 100010;250,00;100010
27.10.2023;Helen Oy Sahko;-497,80;
08.03.2023;Hoitovastike 100036;210,00;100036
04.06.2023;Hoitovastike 100010;250,00;100010
11.06.2023;Hoitovastike 100052;175,00;100052
08.09.2023;DNA Oyj Laajakaista;-120,00;
